abilities sim: 116,287,920 round-sims in 40.6s

== calm ==
  arm       lev  liq | fire%  | liq% base→arm  | houseEV% base→arm | Δhouse% ±95CI
skullCashV1   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV1  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV1  500  0.20 |   2.10 |   2.10→   0.00 |   5.34→   5.07 | -0.262±0.167
skullCashV1 1000  0.20 |  15.66 |  15.75→   0.00 |   6.54→   4.33 | -2.211±0.517
skullCashV1 1500  0.20 |  28.56 |  28.62→   0.00 |   5.02→   1.86 | -3.161±0.608
skullCashV1 2000  0.20 |  37.82 |  37.93→   0.00 |   1.65→  -2.02 | -3.661±0.668
skullCashV1 3000  0.20 |  49.47 |  49.52→   0.00 |  -5.65→ -11.16 | -5.508±0.855
skullCashV2   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV2  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV2  500  0.10 |   1.61 |   1.64→   0.91 |   5.23→   5.11 | -0.113±0.088
skullCashV2 1000  0.10 |  11.24 |  11.27→   7.43 |   4.78→   4.13 | -0.650±0.278
skullCashV2 1500  0.10 |  28.56 |  28.62→  20.59 |   5.02→   2.63 | -2.389±0.583
skullCashV2 2000  0.10 |  37.82 |  37.93→  27.17 |   1.65→  -1.79 | -3.437±0.667
skullCashV2 3000  0.10 |  49.47 |  49.52→  33.82 |  -5.65→ -11.16 | -5.508±0.855
skullCashV2   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV2  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullCashV2  500  0.20 |   2.10 |   2.10→   1.30 |   5.34→   5.16 | -0.177±0.121
skullCashV2 1000  0.20 |  15.66 |  15.75→  10.42 |   6.54→   5.05 | -1.496±0.445
skullCashV2 1500  0.20 |  28.56 |  28.62→  20.59 |   5.02→   2.63 | -2.389±0.583
skullCashV2 2000  0.20 |  37.82 |  37.93→  27.17 |   1.65→  -1.79 | -3.437±0.667
skullCashV2 3000  0.20 |  49.47 |  49.52→  33.82 |  -5.65→ -11.16 | -5.508±0.855
skullGate   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullGate  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullGate  500  0.10 |   1.51 |   1.64→   1.26 |   5.23→   5.15 | -0.079±0.074
skullGate 1000  0.10 |  10.83 |  11.27→   8.81 |   4.78→   3.95 | -0.825±0.483
skullGate 1500  0.10 |   0.00 |  28.62→  28.62 |   5.02→   5.02 |  0.000±0.000
skullGate 2000  0.10 |   0.00 |  37.93→  37.93 |   1.65→   1.65 |  0.000±0.000
skullGate 3000  0.10 |   0.00 |  49.52→  49.52 |  -5.65→  -5.65 |  0.000±0.000
skullGate   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullGate  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullGate  500  0.20 |   2.00 |   2.10→   1.65 |   5.34→   5.23 | -0.103±0.075
skullGate 1000  0.20 |  15.20 |  15.75→  12.47 |   6.54→   5.12 | -1.418±0.545
skullGate 1500  0.20 |   0.00 |  28.62→  28.62 |   5.02→   5.02 |  0.000±0.000
skullGate 2000  0.20 |   0.00 |  37.93→  37.93 |   1.65→   1.65 |  0.000±0.000
skullGate 3000  0.20 |   0.00 |  49.52→  49.52 |  -5.65→  -5.65 |  0.000±0.000
skullMini   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMini  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMini  500  0.10 |   1.64 |   1.64→   0.00 |   5.23→   4.19 | -1.039±0.892
skullMini 1000  0.10 |  11.27 |  11.27→   2.41 |   4.78→  -1.27 | -6.052±1.996
skullMini 1500  0.10 |  28.62 |  28.62→  10.13 |   5.02→  -9.22 |-14.245±2.501
skullMini 2000  0.10 |  37.93 |  37.93→  20.36 |   1.65→ -16.00 |-17.648±2.735
skullMini 3000  0.10 |  49.52 |  49.52→  27.17 |  -5.65→ -37.57 |-31.923±4.807
skullMini   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMini  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMini  500  0.20 |   2.10 |   2.10→   0.11 |   5.34→   4.14 | -1.195±0.921
skullMini 1000  0.20 |  15.75 |  15.75→   5.13 |   6.54→  -0.98 | -7.522±2.069
skullMini 1500  0.20 |  28.62 |  28.62→  14.32 |   5.02→  -6.98 |-11.998±2.171
skullMini 2000  0.20 |  37.93 |  37.93→  20.36 |   1.65→ -16.00 |-17.648±2.735
skullMini 3000  0.20 |  49.52 |  49.52→  35.53 |  -5.65→ -29.18 |-23.533±4.417
skullMiniHalf   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMiniHalf  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMiniHalf  500  0.10 |   1.64 |   1.64→   0.00 |   5.23→   4.32 | -0.908±0.751
skullMiniHalf 1000  0.10 |  11.27 |  11.27→   1.20 |   4.78→  -0.72 | -5.495±1.575
skullMiniHalf 1500  0.10 |  28.62 |  28.62→   4.75 |   5.02→  -8.59 |-13.614±1.934
skullMiniHalf 2000  0.10 |  37.93 |  37.93→   9.34 |   1.65→ -16.54 |-18.188±2.219
skullMiniHalf 3000  0.10 |  49.52 |  49.52→  20.39 |  -5.65→ -30.31 |-24.664±3.005
skullMiniHalf   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMiniHalf  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullMiniHalf  500  0.20 |   2.10 |   2.10→   0.00 |   5.34→   4.21 | -1.126±0.812
skullMiniHalf 1000  0.20 |  15.75 |  15.75→   2.30 |   6.54→  -0.90 | -7.439±1.706
skullMiniHalf 1500  0.20 |  28.62 |  28.62→   6.65 |   5.02→  -8.03 |-13.049±1.899
skullMiniHalf 2000  0.20 |  37.93 |  37.93→  14.10 |   1.65→ -14.56 |-16.201±2.024
skullMiniHalf 3000  0.20 |  49.52 |  49.52→  27.17 |  -5.65→ -26.92 |-21.270±2.706
skullR150   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR150  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR150  500  0.10 |   1.64 |   1.64→   1.32 |   5.23→   5.18 | -0.046±0.039
skullR150 1000  0.10 |  11.27 |  11.27→   9.47 |   4.78→   4.51 | -0.268±0.149
skullR150 1500  0.10 |  28.62 |  28.62→  26.16 |   5.02→   4.64 | -0.377±0.153
skullR150 2000  0.10 |  37.93 |  37.93→  35.04 |   1.65→   1.21 | -0.437±0.153
skullR150 3000  0.10 |  49.52 |  49.52→  45.71 |  -5.65→  -6.29 | -0.639±0.232
skullR150   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR150  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR150  500  0.20 |   2.10 |   2.10→   1.80 |   5.34→   5.27 | -0.068±0.056
skullR150 1000  0.20 |  15.75 |  15.75→  13.57 |   6.54→   6.01 | -0.530±0.230
skullR150 1500  0.20 |  28.62 |  28.62→  26.16 |   5.02→   4.41 | -0.610±0.240
skullR150 2000  0.20 |  37.93 |  37.93→  35.04 |   1.65→   0.94 | -0.709±0.244
skullR150 3000  0.20 |  49.52 |  49.52→  45.71 |  -5.65→  -6.65 | -1.001±0.344
skullR400   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR400  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR400  500  0.10 |   1.64 |   1.64→   1.32 |   5.23→   5.16 | -0.065±0.059
skullR400 1000  0.10 |  11.27 |  11.27→   9.47 |   4.78→   4.34 | -0.435±0.278
skullR400 1500  0.10 |  28.62 |  28.62→  26.16 |   5.02→   4.41 | -0.607±0.272
skullR400 2000  0.10 |  37.93 |  37.93→  35.04 |   1.65→   0.95 | -0.695±0.259
skullR400 3000  0.10 |  49.52 |  49.52→  45.70 |  -5.65→  -6.68 | -1.028±0.375
skullR400   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR400  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR400  500  0.20 |   2.10 |   2.10→   1.76 |   5.34→   5.23 | -0.106±0.094
skullR400 1000  0.20 |  15.75 |  15.75→  13.53 |   6.54→   5.80 | -0.742±0.334
skullR400 1500  0.20 |  28.62 |  28.62→  26.04 |   5.02→   4.15 | -0.868±0.353
skullR400 2000  0.20 |  37.93 |  37.93→  34.88 |   1.65→   0.62 | -1.027±0.368
skullR400 3000  0.20 |  49.52 |  49.52→  45.50 |  -5.65→  -7.09 | -1.440±0.512
skullR50    50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR50   200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR50   500  0.10 |   1.64 |   1.64→   1.32 |   5.23→   5.19 | -0.035±0.030
skullR50  1000  0.10 |  11.27 |  11.27→   9.47 |   4.78→   4.58 | -0.203±0.104
skullR50  1500  0.10 |  28.62 |  28.62→  26.16 |   5.02→   4.74 | -0.282±0.109
skullR50  2000  0.10 |  37.93 |  37.93→  35.04 |   1.65→   1.32 | -0.328±0.112
skullR50  3000  0.10 |  49.52 |  49.52→  45.71 |  -5.65→  -6.11 | -0.454±0.154
skullR50    50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR50   200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullR50   500  0.20 |   2.10 |   2.10→   1.80 |   5.34→   5.27 | -0.061±0.049
skullR50  1000  0.20 |  15.75 |  15.75→  13.57 |   6.54→   6.09 | -0.453±0.188
skullR50  1500  0.20 |  28.62 |  28.62→  26.16 |   5.02→   4.51 | -0.516±0.196
skullR50  2000  0.20 |  37.93 |  37.93→  35.04 |   1.65→   1.04 | -0.602±0.204
skullR50  3000  0.20 |  49.52 |  49.52→  45.71 |  -5.65→  -6.47 | -0.816±0.273
skullRebuy   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRebuy  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRebuy  500  0.10 |   1.64 |   1.64→   0.00 |   5.23→   5.13 | -0.092±0.129
skullRebuy 1000  0.10 |  11.27 |  11.27→   0.98 |   4.78→   4.88 |  0.103±0.581
skullRebuy 1500  0.10 |  28.62 |  28.62→   4.75 |   5.02→   5.71 |  0.687±1.113
skullRebuy 2000  0.10 |  37.93 |  37.93→   9.34 |   1.65→   2.41 |  0.764±1.508
skullRebuy 3000  0.10 |  49.52 |  49.52→  20.39 |  -5.65→  -5.56 |  0.088±2.203
skullRebuy   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRebuy  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRebuy  500  0.20 |   2.10 |   2.10→   0.00 |   5.34→   5.26 | -0.076±0.129
skullRebuy 1000  0.20 |  15.75 |  15.75→   1.51 |   6.54→   6.76 |  0.220±0.701
skullRebuy 1500  0.20 |  28.62 |  28.62→   4.75 |   5.02→   5.71 |  0.687±1.113
skullRebuy 2000  0.20 |  37.93 |  37.93→   9.34 |   1.65→   2.41 |  0.764±1.508
skullRebuy 3000  0.20 |  49.52 |  49.52→  20.39 |  -5.65→  -5.56 |  0.088±2.203
skullRevive   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRevive  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRevive  500  0.10 |   1.64 |   1.64→   1.32 |   5.23→   5.20 | -0.031±0.026
skullRevive 1000  0.10 |  11.27 |  11.27→   9.47 |   4.78→   4.60 | -0.178±0.086
skullRevive 1500  0.10 |  28.62 |  28.62→  26.16 |   5.02→   4.78 | -0.244±0.092
skullRevive 2000  0.10 |  37.93 |  37.93→  35.04 |   1.65→   1.36 | -0.285±0.096
skullRevive 3000  0.10 |  49.52 |  49.52→  45.71 |  -5.65→  -6.03 | -0.380±0.126
skullRevive   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRevive  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRevive  500  0.20 |   2.10 |   2.10→   1.80 |   5.34→   5.28 | -0.058±0.047
skullRevive 1000  0.20 |  15.75 |  15.75→  13.57 |   6.54→   6.12 | -0.422±0.171
skullRevive 1500  0.20 |  28.62 |  28.62→  26.16 |   5.02→   4.54 | -0.478±0.179
skullRevive 2000  0.20 |  37.93 |  37.93→  35.04 |   1.65→   1.09 | -0.558±0.188
skullRevive 3000  0.20 |  49.52 |  49.52→  45.71 |  -5.65→  -6.39 | -0.743±0.246
skullRide   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide  500  0.10 |   1.64 |   1.64→   1.30 |   5.23→   5.14 | -0.083±0.081
skullRide 1000  0.10 |  11.27 |  11.27→   8.85 |   4.78→   3.65 | -1.132±0.650
skullRide 1500  0.10 |  28.62 |  28.62→  25.23 |   5.02→   3.14 | -1.881±0.791
skullRide 2000  0.10 |  37.93 |  37.93→  32.68 |   1.65→  -1.48 | -3.128±1.005
skullRide 3000  0.10 |  49.52 |  49.52→  42.24 |  -5.65→ -11.71 | -6.059±1.734
skullRide   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide  500  0.20 |   2.10 |   2.10→   1.49 |   5.34→   5.08 | -0.252±0.340
skullRide 1000  0.20 |  15.75 |  15.75→  12.80 |   6.54→   5.04 | -1.505±0.673
skullRide 1500  0.20 |  28.62 |  28.62→  24.46 |   5.02→   2.68 | -2.344±0.846
skullRide 2000  0.20 |  37.93 |  37.93→  32.68 |   1.65→  -1.98 | -3.627±1.139
skullRide 3000  0.20 |  49.52 |  49.52→  36.20 |  -5.65→ -13.86 | -8.210±1.573
skullRide2   50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide2  200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide2  500  0.10 |   1.64 |   1.64→   1.30 |   5.23→   5.15 | -0.081±0.078
skullRide2 1000  0.10 |  11.27 |  11.27→   8.85 |   4.78→   3.81 | -0.968±0.546
skullRide2 1500  0.10 |  28.62 |  28.62→  25.23 |   5.02→   3.64 | -1.385±0.565
skullRide2 2000  0.10 |  37.93 |  37.93→  32.68 |   1.65→  -0.64 | -2.285±0.682
skullRide2 3000  0.10 |  49.52 |  49.52→  42.24 |  -5.65→  -8.97 | -3.323±0.880
skullRide2   50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide2  200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
skullRide2  500  0.20 |   2.10 |   2.10→   1.49 |   5.34→   5.09 | -0.250±0.336
skullRide2 1000  0.20 |  15.75 |  15.75→  12.80 |   6.54→   5.28 | -1.265±0.548
skullRide2 1500  0.20 |  28.62 |  28.62→  24.46 |   5.02→   3.18 | -1.837±0.609
skullRide2 2000  0.20 |  37.93 |  37.93→  32.68 |   1.65→  -0.70 | -2.349±0.684
skullRide2 3000  0.20 |  49.52 |  49.52→  36.20 |  -5.65→ -11.88 | -6.233±1.056
swerve      50  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
swerve     200  0.10 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
swerve     500  0.10 |   0.82 |   1.64→   1.92 |   5.23→   5.29 |  0.067±0.058
swerve    1000  0.10 |  11.08 |  11.27→  12.65 |   4.78→   5.35 |  0.572±0.633
swerve    1500  0.10 |   0.00 |  28.62→  28.62 |   5.02→   5.02 |  0.000±0.000
swerve    2000  0.10 |   0.00 |  37.93→  37.93 |   1.65→   1.65 |  0.000±0.000
swerve    3000  0.10 |   0.00 |  49.52→  49.52 |  -5.65→  -5.65 |  0.000±0.000
swerve      50  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
swerve     200  0.20 |   0.00 |   0.00→   0.00 |   5.00→   5.00 |  0.000±0.000
swerve     500  0.20 |   1.93 |   2.10→   2.40 |   5.34→   5.45 |  0.113±0.202
swerve    1000  0.20 |  16.21 |  15.75→  18.27 |   6.54→   8.03 |  1.484±0.826
swerve    1500  0.20 |  29.58 |  28.62→  29.57 |   5.02→   5.48 |  0.456±1.741
swerve    2000  0.20 |  40.55 |  37.93→  40.01 |   1.65→   4.28 |  2.638±2.716
swerve    3000  0.20 |  51.41 |  49.52→  50.95 |  -5.65→  -3.11 |  2.543±4.781

== spike ==
  arm       lev  liq | fire%  | liq% base→arm  | houseEV% base→arm | Δhouse% ±95CI
airbag      50  0.10 |   6.23 |   6.23→   6.23 |   4.58→   4.41 | -0.178±0.005
airbag     200  0.10 |  39.61 |  39.61→  39.61 | -23.51→ -24.03 | -0.517±0.008
airbag     500  0.10 |  62.33 |  62.33→  62.33 | -76.66→ -77.68 | -1.023±0.010
airbag    1000  0.10 |  76.08 |  76.08→  76.08 |-121.65→-122.51 | -0.857±0.010
airbag    1500  0.10 |  81.49 |  81.49→  81.49 |-142.95→-143.63 | -0.680±0.009
airbag    2000  0.10 |  83.96 |  83.96→  83.96 |-158.72→-159.27 | -0.548±0.008
airbag    3000  0.10 |  86.27 |  86.27→  86.27 |-161.05→-161.42 | -0.370±0.007
airbag      50  0.20 |   8.85 |   8.85→   8.85 |   5.37→   4.56 | -0.808±0.016
airbag     200  0.20 |  42.32 |  42.32→  42.32 | -21.10→ -22.93 | -1.833±0.022
airbag     500  0.20 |  65.06 |  65.06→  65.06 | -67.67→ -71.51 | -3.835±0.026
airbag    1000  0.20 |  77.85 |  77.85→  77.85 |-107.54→-110.88 | -3.344±0.025
airbag    1500  0.20 |  82.74 |  82.74→  82.74 |-128.54→-131.17 | -2.634±0.024
airbag    2000  0.20 |  84.95 |  84.95→  84.95 |-144.16→-146.29 | -2.127±0.022
airbag    3000  0.20 |  86.94 |  86.94→  86.94 |-149.41→-150.87 | -1.452±0.020
flipper     50  0.10 |  94.53 |   6.23→   6.16 |   4.58→   4.45 | -0.135±0.220
flipper    200  0.10 |  83.27 |  39.61→  39.42 | -23.51→ -23.48 |  0.027±0.719
flipper    500  0.10 |  70.27 |  62.33→  62.28 | -76.66→ -76.53 |  0.132±1.606
flipper   1000  0.10 |  52.30 |  76.08→  76.06 |-121.65→-121.07 |  0.587±2.507
flipper   1500  0.10 |  41.82 |  81.49→  81.38 |-142.95→-143.90 | -0.952±2.904
flipper   2000  0.10 |  34.28 |  83.96→  83.85 |-158.72→-160.55 | -1.828±3.090
flipper   3000  0.10 |  26.85 |  86.27→  86.13 |-161.05→-163.72 | -2.671±3.087
flipper     50  0.20 |  94.01 |   8.85→   8.74 |   5.37→   5.21 | -0.155±0.228
flipper    200  0.20 |  82.47 |  42.32→  42.15 | -21.10→ -21.11 | -0.007±0.736
flipper    500  0.20 |  67.48 |  65.06→  65.02 | -67.67→ -67.43 |  0.245±1.567
flipper   1000  0.20 |  49.31 |  77.85→  77.87 |-107.54→-107.22 |  0.314±2.424
flipper   1500  0.20 |  39.34 |  82.74→  82.66 |-128.54→-129.09 | -0.550±2.847
flipper   2000  0.20 |  32.38 |  84.95→  84.80 |-144.16→-146.57 | -2.407±2.985
flipper   3000  0.20 |  25.56 |  86.94→  86.82 |-149.41→-151.57 | -2.159±2.987
flux15      50  0.10 |  22.99 |   6.23→   6.21 |   4.58→   4.60 |  0.012±0.037
flux15     200  0.10 |  50.51 |  39.61→  37.77 | -23.51→ -22.46 |  1.050±0.274
flux15     500  0.10 |  61.11 |  62.33→  57.57 | -76.66→ -68.97 |  7.685±0.782
flux15    1000  0.10 |  60.15 |  76.08→  71.38 |-121.65→-108.16 | 13.490±1.585
flux15    1500  0.10 |  58.70 |  81.49→  77.49 |-142.95→-130.20 | 12.750±2.058
flux15    2000  0.10 |  56.92 |  83.96→  80.74 |-158.72→-146.53 | 12.188±2.439
flux15    3000  0.10 |  54.50 |  86.27→  83.91 |-161.05→-154.65 |  6.403±2.728
flux15      50  0.20 |  22.98 |   8.85→   8.82 |   5.37→   5.38 |  0.011±0.037
flux15     200  0.20 |  49.89 |  42.32→  40.40 | -21.10→ -20.12 |  0.982±0.277
flux15     500  0.20 |  59.02 |  65.06→  60.33 | -67.67→ -60.59 |  7.079±0.781
flux15    1000  0.20 |  57.99 |  77.85→  73.44 |-107.54→ -95.09 | 12.441±1.562
flux15    1500  0.20 |  56.79 |  82.74→  79.03 |-128.54→-117.18 | 11.362±2.067
flux15    2000  0.20 |  55.24 |  84.95→  81.91 |-144.16→-133.64 | 10.517±2.388
flux15    3000  0.20 |  53.22 |  86.94→  84.71 |-149.41→-143.28 |  6.133±2.708
flux20      50  0.10 |   4.62 |   6.23→   6.23 |   4.58→   4.58 | -0.007±0.014
flux20     200  0.10 |  34.53 |  39.61→  38.81 | -23.51→ -23.11 |  0.406±0.219
flux20     500  0.10 |  46.67 |  62.33→  59.47 | -76.66→ -71.79 |  4.869±0.657
flux20    1000  0.10 |  47.99 |  76.08→  72.09 |-121.65→-110.88 | 10.779±1.419
flux20    1500  0.10 |  48.18 |  81.49→  77.89 |-142.95→-131.39 | 11.552±1.916
flux20    2000  0.10 |  47.64 |  83.96→  80.84 |-158.72→-148.82 |  9.900±2.231
flux20    3000  0.10 |  47.48 |  86.27→  83.89 |-161.05→-155.11 |  5.941±2.564
flux20      50  0.20 |   4.62 |   8.85→   8.85 |   5.37→   5.36 | -0.007±0.014
flux20     200  0.20 |  34.01 |  42.32→  41.49 | -21.10→ -20.73 |  0.368±0.222
flux20     500  0.20 |  44.76 |  65.06→  62.21 | -67.67→ -63.05 |  4.627±0.653
flux20    1000  0.20 |  45.78 |  77.85→  74.07 |-107.54→ -97.76 |  9.775±1.384
flux20    1500  0.20 |  46.25 |  82.74→  79.32 |-128.54→-118.31 | 10.226±1.893
flux20    2000  0.20 |  45.97 |  84.95→  82.00 |-144.16→-135.54 |  8.616±2.202
flux20    3000  0.20 |  46.21 |  86.94→  84.70 |-149.41→-143.60 |  5.810±2.543
heavy       50  0.10 |   0.00 |   6.23→  11.33 |   4.58→   4.28 | -0.308±0.051
heavy      200  0.10 |   0.00 |  39.61→  50.04 | -23.51→ -29.36 | -5.849±0.379
heavy      500  0.10 |   0.00 |  62.33→  69.64 | -76.66→ -87.23 |-10.576±0.826
heavy     1000  0.10 |   0.00 |  76.08→  80.69 |-121.65→-130.95 | -9.291±1.150
heavy     1500  0.10 |   0.00 |  81.49→  84.89 |-142.95→-148.31 | -5.363±1.198
heavy     2000  0.10 |   0.00 |  83.96→  86.42 |-158.72→-162.99 | -4.271±1.043
heavy     3000  0.10 |   0.00 |  86.27→  87.87 |-161.05→-162.15 | -1.095±0.876
heavy       50  0.20 |   0.00 |   8.85→  14.99 |   5.37→   5.62 |  0.249±0.060
heavy      200  0.20 |   0.00 |  42.32→  52.61 | -21.10→ -25.86 | -4.759±0.382
heavy      500  0.20 |   0.00 |  65.06→  71.81 | -67.67→ -76.80 | -9.128±0.810
heavy     1000  0.20 |   0.00 |  77.85→  82.14 |-107.54→-115.63 | -8.096±1.125
heavy     1500  0.20 |   0.00 |  82.74→  85.90 |-128.54→-133.09 | -4.547±1.159
heavy     2000  0.20 |   0.00 |  84.95→  87.24 |-144.16→-147.82 | -3.657±1.004
heavy     3000  0.20 |   0.00 |  86.94→  88.45 |-149.41→-150.15 | -0.741±0.857
nitro       50  0.10 | 100.00 |   6.23→  14.31 |   4.58→   2.64 | -1.944±0.083
nitro      200  0.10 |  99.15 |  39.61→  47.70 | -23.51→ -40.91 |-17.398±0.410
nitro      500  0.10 |  99.15 |  62.33→  69.76 | -76.66→ -97.21 |-20.555±1.068
nitro     1000  0.10 |  97.61 |  76.08→  80.13 |-121.65→-142.75 |-21.097±1.806
nitro     1500  0.10 |  91.64 |  81.49→  83.71 |-142.95→-159.38 |-16.434±1.918
nitro     2000  0.10 |  84.98 |  83.96→  84.82 |-158.72→-162.86 | -4.145±1.488
nitro     3000  0.10 |   0.00 |  86.27→  86.27 |-161.05→-161.05 |  0.000±0.000
nitro       50  0.20 | 100.00 |   8.85→  17.12 |   5.37→   3.70 | -1.663±0.092
nitro      200  0.20 |  99.15 |  42.32→  50.79 | -21.10→ -36.28 |-15.181±0.417
nitro      500  0.20 |  99.15 |  65.06→  72.01 | -67.67→ -85.59 |-17.920±1.074
nitro     1000  0.20 |  96.43 |  77.85→  81.43 |-107.54→-129.26 |-21.721±1.718
nitro     1500  0.20 |  89.11 |  82.74→  84.63 |-128.54→-146.05 |-17.507±1.879
nitro     2000  0.20 |  82.18 |  84.95→  85.71 |-144.16→-149.12 | -4.964±1.464
nitro     3000  0.20 |   0.00 |  86.94→  86.94 |-149.41→-149.41 |  0.000±0.000
pinkBoth    50  0.10 |  26.40 |   6.23→   1.18 |   4.58→   4.96 |  0.374±0.071
pinkBoth   200  0.10 |  57.51 |  39.61→  24.13 | -23.51→ -16.93 |  6.577±0.446
pinkBoth   500  0.10 |  87.38 |  62.33→  12.07 | -76.66→ -34.05 | 42.609±1.185
pinkBoth  1000  0.10 |  84.20 |  76.08→  15.80 |-121.65→ -32.46 | 89.195±2.099
pinkBoth  1500  0.10 |  75.30 |  81.49→  24.70 |-142.95→ -34.25 |108.696±2.517
pinkBoth  2000  0.10 |  67.86 |  83.96→  31.58 |-158.72→ -38.74 |119.978±2.769
pinkBoth  3000  0.10 |  59.69 |  86.27→  39.28 |-161.05→ -48.48 |112.572±2.912
pinkBoth    50  0.20 |  24.96 |   8.85→   2.62 |   5.37→   5.17 | -0.194±0.073
pinkBoth   200  0.20 |  57.00 |  42.32→  24.64 | -21.10→ -16.86 |  4.236±0.451
pinkBoth   500  0.20 |  84.79 |  65.06→  14.66 | -67.67→ -33.66 | 34.015±1.155
pinkBoth  1000  0.20 |  77.46 |  77.85→  22.54 |-107.54→ -31.48 | 76.057±2.001
pinkBoth  1500  0.20 |  68.55 |  82.74→  31.45 |-128.54→ -33.28 | 95.262±2.501
pinkBoth  2000  0.20 |  61.97 |  84.95→  37.47 |-144.16→ -37.89 |106.266±2.694
pinkBoth  3000  0.20 |  55.66 |  86.94→  43.32 |-149.41→ -47.90 |101.513±2.812
pinkSL      50  0.10 |  21.82 |   6.23→   1.18 |   4.58→   4.97 |  0.383±0.066
pinkSL     200  0.10 |  28.40 |  39.61→  25.78 | -23.51→ -17.91 |  5.604±0.229
pinkSL     500  0.10 |  54.95 |  62.33→  19.42 | -76.66→ -51.83 | 24.832±0.743
